generation,best_fitness,mean_fitness,std_fitness,best_individual,elapsed_s
0,0.5050501771549363,0.456319992829928,0.023605030438358317,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.4123061094973908}",5.71
1,0.5050501771549363,0.485008648260053,0.015380918545194763,"{""n_estimators"": 130, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.4123061094973908}",10.361
2,0.5081812372411183,0.49094711792639584,0.022218440507417392,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9926606894719061, ""min_child_weight"": 7, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.4123061094973908}",15.207
3,0.5081812372411183,0.4940932760669867,0.021651899291561104,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.22225320250494204, ""subsample"": 0.9080116267100442, ""colsample_bytree"": 0.9926606894719061, ""min_child_weight"": 7, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.4123061094973908}",21.428
4,0.5101344971987816,0.49686383134074685,0.019395887977939553,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.7692720928054625, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.6132693515852807}",26.884
5,0.5101344971987816,0.5008119066302077,0.014082699794005206,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.7692720928054625, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.6132693515852807}",33.002
6,0.5101344971987816,0.49187545195549026,0.027227268911890375,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.7692720928054625, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.6132693515852807}",39.237
7,0.5101344971987816,0.49707817857627706,0.020988261684821537,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.7692720928054625, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.6132693515852807}",45.709
8,0.511188386322652,0.502719300539251,0.008440966963383274,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.016603747176041513, ""subsample"": 0.7585665151099188, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.6882571911921946, ""scale_pos_weight"": 2.6132693515852807}",52.391
9,0.511188386322652,0.5031091872081429,0.015398515607521724,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.016603747176041513, ""subsample"": 0.7585665151099188, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.6882571911921946, ""scale_pos_weight"": 2.6132693515852807}",59.26
10,0.511188386322652,0.5027438559955926,0.014494915711573002,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.016603747176041513, ""subsample"": 0.7585665151099188, ""colsample_bytree"": 0.9889922468386672, ""min_child_weight"": 9, ""gamma"": 3.6882571911921946, ""scale_pos_weight"": 2.6132693515852807}",66.764
11,0.5125676685885651,0.4988345432745061,0.01960983093789981,"{""n_estimators"": 550, ""max_depth"": 3, ""learning_rate"": 0.04244164034305957, ""subsample"": 0.7692720928054625, ""colsample_bytree"": 1.0, ""min_child_weight"": 9, ""gamma"": 3.8291721465349386, ""scale_pos_weight"": 2.6132693515852807}",74.264
